id,Player,BR_player_id,From,To,Pos,Ht,Wt,Birth Date,College,active,shoots,draft_team,pick_order,draft_year_type
1969,Ervin Johnson,johnser02,1994,2006,C,6-11,245,"December 21, 1967",University of New Orleans,0,Right,Seattle SuperSonics,"1st round (23rd pick,23rd overall)",1993 NBA Draft
1970,Frank Johnson,johnsfr01,1982,1994,G,6-1,185,"November 23, 1958",Wake Forest University,0,Right,Washington Bullets,"1st round (11th pick,11th overall)",1981 NBA Draft
1971,George Johnson,johnsge01,1971,1974,C,6-11,245,"June 19, 1947",Stephen F. Austin State University,0,Right,Baltimore Bullets,"1st round (9th pick,9th overall)",1970 NBA Draft
1972,George Johnson,johnsge02,1973,1986,C-F,6-11,205,"December 18, 1948",Dillard University,0,Right,Chicago Bulls,"5th round (11th pick,79th overall)",1970 NBA Draft
1973,George Johnson,johnsge03,1979,1986,F-C,6-7,210,"December 8, 1956",St. John's University,0,Right,Milwaukee Bucks,"1st round (12th pick,12th overall)",1978 NBA Draft
1974,Gus Johnson*,johnsgu01,1964,1973,F-C,6-6,230,"December 13, 1938",University of Idaho,0,Right,Baltimore Bullets,"2nd round (2nd pick,10th overall)",1963 NBA Draft
1975,Harold Johnson,johnsha01,1947,1947,C,6-6,240,"January 30, 1920",Indiana State University,0,Right,,,
1976,Ivan Johnson,johnsiv01,2012,2013,F,6-8,230,"April 10, 1984",University of Oregon,0,Right,,,
1977,JaJuan Johnson,johnsja02,2012,2012,F,6-10,221,"February 8, 1989",Purdue University,0,Right,New Jersey Nets,"1st round (27th pick,27th overall)",2011 NBA Draft
1978,James Johnson,johnsja01,2010,2017,F,6-9,250,"February 20, 1987",Wake Forest University,1,Right,Chicago Bulls,"1st round (16th pick,16th overall)",2009 NBA Draft
1979,Joe Johnson,johnsjo02,2002,2017,G-F,6-7,240,"June 29, 1981",University of Arkansas,1,Right,Boston Celtics,"1st round (10th pick,10th overall)",2001 NBA Draft
1980,John Johnson,johnsjo01,1971,1982,F,6-7,200,"October 18, 1947",University of Iowa,0,Right,Cleveland Cavaliers,"1st round (7th pick,7th overall)",1970 NBA Draft
1981,Kannard Johnson,johnska01,1988,1988,F,6-9,220,"June 24, 1965",Western Kentucky University,0,Right,Cleveland Cavaliers,"2nd round (18th pick,41st overall)",1987 NBA Draft
1982,Ken Johnson,johnske01,1986,1986,F,6-8,240,"November 7, 1962",Michigan State University,0,Right,Chicago Bulls,"2nd round (4th pick,28th overall)",1985 NBA Draft
1983,Ken Johnson,johnske03,2003,2003,F-C,6-11,240,"February 1, 1978",Ohio State University,0,Right,Miami Heat,"2nd round (20th pick,49th overall)",2001 NBA Draft
1984,Kevin Johnson,johnske02,1988,2000,G,6-1,180,"March 4, 1966",University of California,0,Right,Cleveland Cavaliers,"1st round (7th pick,7th overall)",1987 NBA Draft
1985,Larry Johnson,johnsla01,1978,1978,G,6-3,205,"November 28, 1954",University of Kentucky,0,Right,Buffalo Braves,"2nd round (2nd pick,24th overall)",1977 NBA Draft
1986,Larry Johnson,johnsla02,1992,2001,F,6-6,250,"March 14, 1969","University of Nevada, Las Vegas",0,Right,Charlotte Hornets,"1st round (1st pick,1st overall)",1991 NBA Draft
1987,Lee Johnson,johnsle01,1981,1981,F,6-11,205,"June 16, 1957",East Texas State University,0,Right,Houston Rockets,"1st round (17th pick,17th overall)",1979 NBA Draft
1988,Linton Johnson,johnsli01,2004,2009,F,6-8,205,"June 13, 1980",Tulane University,0,Right,,,
1989,Magic Johnson*,johnsma02,1980,1996,G-F,6-9,215,"August 14, 1959",Michigan State University,0,Right,Los Angeles Lakers,"1st round (1st pick,1st overall)",1979 NBA Draft
1990,Marques Johnson,johnsma01,1978,1990,F-G,6-7,218,"February 8, 1956","University of California, Los Angeles",0,Right,Milwaukee Bucks,"1st round (3rd pick,3rd overall)",1977 NBA Draft
1991,Mickey Johnson,johnsmi01,1975,1986,F,6-10,190,"August 31, 1952",Aurora University,0,Right,Portland Trail Blazers,"4th round (2nd pick,56th overall)",1974 NBA Draft
1992,Neil Johnson,johnsne02,1967,1973,F-C,6-7,220,"April 17, 1943",Creighton University,0,Right,Baltimore Bullets,"2nd round (5th pick,15th overall)",1966 NBA Draft
1993,Nick Johnson,johnsni01,2015,2015,G,6-3,202,"December 22, 1992",University of Arizona,0,Right,Houston Rockets,"2nd round (12th pick,42nd overall)",2014 NBA Draft
1994,Ollie Johnson,johnsol01,1973,1982,F,6-6,200,"May 11, 1949",Temple University,0,Right,Portland Trail Blazers,"2nd round (17th pick,30th overall)",1972 NBA Draft
1995,Orlando Johnson,johnsor01,2013,2016,G,6-5,220,"March 11, 1989","University of California, Santa Barbara",0,Right,Sacramento Kings,"2nd round (6th pick,36th overall)",2012 NBA Draft
1996,Ralph Johnson,johnsra01,1950,1953,G,5-11,170,"December 6, 1921",Huntington University,0,Right,,,
1997,Reggie Johnson,johnsre01,1981,1984,F-C,6-9,205,"June 25, 1957",University of Tennessee,0,Right,San Antonio Spurs,"1st round (15th pick,15th overall)",1980 NBA Draft
1998,Rich Johnson,johnsri01,1969,1971,C,6-7,210,"December 18, 1946",Grambling State University,0,Right,Boston Celtics,"4th round (10th pick,46th overall)",1968 NBA Draft
1999,Ron Johnson,johnsro01,1961,1961,F,6-8,215,"July 20, 1938",University of Minnesota,0,Right,Detroit Pistons,"2nd round (4th pick,12th overall)",1960 NBA Draft
2000,Stanley Johnson,johnsst04,2016,2017,F,6-7,245,"May 29, 1996",University of Arizona,1,Right,Detroit Pistons,"1st round (8th pick,8th overall)",2015 NBA Draft
2001,Steffond Johnson,johnsst02,1987,1987,F,6-8,240,"November 4, 1962",San Diego State University,0,Right,Los Angeles Clippers,"5th round (7th pick,100th overall)",1986 NBA Draft
2002,Steve Johnson,johnsst03,1982,1991,C-F,6-10,235,"November 3, 1957",Oregon State University,0,Right,Kansas City Kings,"1st round (7th pick,7th overall)",1981 NBA Draft
2003,Stew Johnson,johnsst01,1968,1976,F-C,6-8,220,"August 19, 1944",Murray State University,0,Right,New York Knicks,"3rd round (1st pick,21st overall)",1966 NBA Draft
2004,Trey Johnson,johnstr01,2009,2012,G,6-5,218,"August 30, 1984",Jackson State University,0,Right,,,
2005,Tyler Johnson,johnsty01,2015,2017,G,6-4,186,"May 7, 1992","California State University, Fresno",1,Left,,,
2006,Vinnie Johnson,johnsvi01,1980,1992,G,6-2,200,"September 1, 1956",Baylor University,0,Right,Seattle SuperSonics,"1st round (7th pick,7th overall)",1979 NBA Draft
2007,Wesley Johnson,johnswe01,2011,2017,F-G,6-7,215,"July 11, 1987",Syracuse University,1,Right,Minnesota Timberwolves,"1st round (4th pick,4th overall)",2010 NBA Draft
2008,Darius Johnson-Odom,johnsda03,2013,2014,G,6-2,215,"September 28, 1989",Marquette University,0,Left,Dallas Mavericks,"2nd round (25th pick,55th overall)",2012 NBA Draft
2009,Nate Johnston,johnsna01,1990,1990,F,6-8,210,"December 18, 1966",University of Tampa,0,Right,Miami Heat,"3rd round (9th pick,59th overall)",1988 NBA Draft
2010,Neil Johnston*,johnsne01,1952,1959,C,6-8,210,"February 4, 1929",Ohio State University,0,Right,,,
2011,Jim Johnstone,johnsji01,1983,1983,C-F,6-11,245,"September 20, 1960",Wake Forest University,0,Right,Kansas City Kings,"3rd round (5th pick,51st overall)",1982 NBA Draft
2012,Nikola Jokic,jokicni01,2016,2017,C-F,6-10,250,"February 19, 1995",,1,Right,Denver Nuggets,"2nd round (11th pick,41st overall)",2014 NBA Draft
2013,Howie Jolliff,jolifho01,1961,1963,F-C,6-7,218,"July 20, 1938",Ohio University,0,Right,,,
2014,Alvin Jones,jonesal01,2002,2002,C,6-11,265,"September 9, 1978",Georgia Institute of Technology,0,Right,Philadelphia 76ers,"2nd round (28th pick,57th overall)",2001 NBA Draft
2015,Anthony Jones,jonesan01,1987,1990,G-F,6-6,195,"September 13, 1962","University of Nevada, Las Vegas",0,Right,Washington Bullets,"1st round (21st pick,21st overall)",1986 NBA Draft
2016,Askia Jones,jonesas01,1995,1995,G,6-5,200,"December 3, 1971",Kansas State University,0,Right,,,
2017,Bill Jones,jonesbi01,1989,1989,F,6-7,175,"March 18, 1966",University of Iowa,0,Right,,,
2018,Bobby Jones,jonesbo01,1975,1986,F,6-9,210,"December 18, 1951",University of North Carolina,0,Right,Houston Rockets,"1st round (5th pick,5th overall)",1974 NBA Draft
2019,Bobby Jones,jonesbo02,2007,2008,F,6-7,215,"January 9, 1984",University of Washington,0,Right,Minnesota Timberwolves,"2nd round (7th pick,37th overall)",2006 NBA Draft
2020,Caldwell Jones,jonesca01,1974,1990,C-F,6-11,217,"August 4, 1950",Albany State University,0,Right,Philadelphia 76ers,"2nd round (14th pick,32nd overall)",1973 NBA Draft
2021,Charles Jones,jonesch01,1984,1998,F-C,6-9,215,"April 3, 1957",Albany State University,0,Right,Phoenix Suns,"8th round (18th pick,165th overall)",1979 NBA Draft
2022,Charles Jones,jonesch02,1985,1989,F,6-8,215,"January 12, 1962",University of Louisville,0,Right,Phoenix Suns,"2nd round (12th pick,36th overall)",1984 NBA Draft
2023,Charles Jones,jonesch03,1999,2000,G,6-3,180,"July 17, 1975",Long Island University,0,Right,,,
2024,Collis Jones,jonesco01,1972,1975,F,6-7,203,"July 3, 1949",University of Notre Dame,0,Right,Milwaukee Bucks,"1st round (17th pick,17th overall)",1971 NBA Draft
2025,Dahntay Jones,jonesda02,2004,2017,G-F,6-6,225,"December 27, 1980",Duke University,1,Right,Boston Celtics,"1st round (20th pick,20th overall)",2003 NBA Draft
2026,Damian Jones,jonesda03,2017,2017,F-C,7-0,245,"June 30, 1995",Vanderbilt University,1,Right,Golden State Warriors,"1st round (30th pick,30th overall)",2016 NBA Draft
2027,Damon Jones,jonesda01,1999,2009,G,6-3,185,"August 25, 1976",University of Houston,0,Right,,,
2028,DeQuan Jones,jonesde01,2013,2013,F,6-8,221,"June 20, 1990",University of Miami,1,Right,,,
2029,Derrick Jones,jonesde02,2017,2017,F,6-7,190,"February 15, 1997","University of Nevada, Las Vegas",1,Left,,,
2030,Dominique Jones,jonesdo02,2011,2013,G,6-4,215,"October 15, 1988",University of South Florida,0,Right,Memphis Grizzlies,"1st round (25th pick,25th overall)",2010 NBA Draft
2031,Dontae' Jones,jonesdo01,1998,1998,F,6-8,220,"June 2, 1975",Mississippi State University,0,Right,New York Knicks,"1st round (21st pick,21st overall)",1996 NBA Draft
2032,Dwayne Jones,jonesdw02,2006,2010,F-C,6-11,250,"June 9, 1983",Saint Joseph's University,0,Right,,,
2033,Dwight Jones,jonesdw01,1974,1983,F-C,6-10,210,"February 27, 1952",University of Houston,0,Right,Atlanta Hawks,"1st round (9th pick,9th overall)",1973 NBA Draft
2034,Earl Jones,jonesea01,1985,1986,C,7-0,210,"January 13, 1961",University of the District of Columbia,0,Right,Los Angeles Lakers,"1st round (23rd pick,23rd overall)",1984 NBA Draft
2035,Eddie Jones,jonesed02,1995,2008,G-F,6-6,190,"October 20, 1971",Temple University,0,Right,Los Angeles Lakers,"1st round (10th pick,10th overall)",1994 NBA Draft
2036,Edgar Jones,jonesed01,1981,1986,F-C,6-10,225,"June 17, 1956","University of Nevada, Reno",0,Right,Milwaukee Bucks,"2nd round (9th pick,31st overall)",1979 NBA Draft
2037,Fred Jones,jonesfr01,2003,2009,G-F,6-4,210,"March 11, 1979",University of Oregon,0,Right,Indiana Pacers,"1st round (14th pick,14th overall)",2002 NBA Draft
2038,Hutch Jones,joneshu01,1983,1984,F,6-8,190,"September 1, 1959",Vanderbilt University,0,Right,,,
2039,Jake Jones,jonesja01,1972,1972,G,6-3,180,"May 9, 1949",Assumption College,0,Right,Philadelphia 76ers,"6th round (12th pick,97th overall)",1971 NBA Draft
2040,James Jones,jonesja02,2004,2017,F-G,6-8,218,"October 4, 1980",University of Miami,0,Right,Indiana Pacers,"2nd round (20th pick,49th overall)",2003 NBA Draft
2041,Jimmy Jones,jonesji01,1968,1977,G,6-4,188,"January 1, 1945",Grambling State University,0,Right,Baltimore Bullets,"2nd round (1st pick,13th overall)",1967 NBA Draft
2042,Johnny Jones,jonesjo01,1968,1969,F,6-7,205,"March 12, 1943","California State University, Los Angeles",0,Right,,,
2043,Jumaine Jones,jonesju01,2000,2007,F,6-8,218,"February 10, 1979",University of Georgia,0,Right,Atlanta Hawks,"1st round (27th pick,27th overall)",1999 NBA Draft
2044,K.C. Jones*,joneskc01,1959,1967,G,6-1,200,"May 25, 1932",University of San Francisco,0,Right,Boston Celtics,2nd round,1956 NBA Draft
2045,Kevin Jones,joneske01,2013,2013,F,6-8,251,"August 25, 1989",West Virginia University,0,Right,,,
2046,Larry Jones,jonesla01,1965,1974,G-F,6-2,180,"September 22, 1942",University of Toledo,0,Right,Philadelphia 76ers,"3rd round (4th pick,20th overall)",1964 NBA Draft
2047,Major Jones,jonesma01,1980,1985,F,6-9,225,"July 9, 1953",Albany State University,0,Right,Portland Trail Blazers,"2nd round (3rd pick,20th overall)",1976 NBA Draft
2048,Mark Jones,jonesma02,1984,1984,G,6-1,175,"April 10, 1961",St. Bonaventure University,0,Right,New York Knicks,"4th round (12th pick,82nd overall)",1983 NBA Draft
2049,Mark Jones,jonesma03,2005,2005,G,6-6,215,"May 25, 1975",University of Central Florida,0,Right,,,
2050,Nick Jones,jonesni01,1968,1973,G,6-2,190,"March 28, 1945",University of Oregon,0,Right,San Diego Rockets,"3rd round (12th pick,31st overall)",1967 NBA Draft
2051,Ozell Jones,jonesoz01,1985,1986,C-F,6-11,235,"November 20, 1960","California State University, Fullerton",0,Right,San Antonio Spurs,"4th round (20th pick,90th overall)",1984 NBA Draft
2052,Perry Jones,jonespe01,2013,2015,F,6-11,235,"September 24, 1991",Baylor University,1,Right,Oklahoma City Thunder,"1st round (28th pick,28th overall)",2012 NBA Draft
2053,Popeye Jones,jonespo01,1994,2004,F,6-8,250,"June 17, 1970",Murray State University,0,Right,Houston Rockets,"2nd round (14th pick,41st overall)",1992 NBA Draft
2054,Rich Jones,jonesri01,1970,1977,F-C,6-6,220,"December 27, 1946",University of Memphis,0,Right,Phoenix Suns,"5th round (1st pick,58th overall)",1969 NBA Draft
2055,Robin Jones,jonesro01,1977,1978,F-C,6-9,225,"February 2, 1954",Saint Louis University,0,Right,,,
2056,Sam Jones*,jonessa01,1958,1969,G-F,6-4,198,"June 24, 1933",North Carolina Central University,0,Right,Boston Celtics,"1st round (8th pick,8th overall)",1957 NBA Draft
2057,Shelton Jones,jonessh01,1989,1989,F,6-9,210,"April 6, 1966",St. John's University,0,Right,San Antonio Spurs,"2nd round (2nd pick,27th overall)",1988 NBA Draft
2058,Solomon Jones,jonesso01,2007,2014,F,6-10,230,"July 16, 1984",University of South Florida,0,Right,Atlanta Hawks,"2nd round (3rd pick,33rd overall)",2006 NBA Draft
2059,Steve Jones,jonesst01,1968,1976,G-F,6-5,205,"October 17, 1942",University of Oregon,0,Right,,,
2060,Terrence Jones,joneste01,2013,2017,F,6-9,252,"January 9, 1992",University of Kentucky,1,Left,Houston Rockets,"1st round (18th pick,18th overall)",2012 NBA Draft
2061,Tyus Jones,jonesty01,2016,2017,G,6-2,195,"May 10, 1996",Duke University,1,Right,Cleveland Cavaliers,"1st round (24th pick,24th overall)",2015 NBA Draft
2062,Wah Wah Jones,joneswa01,1950,1952,F,6-4,225,"July 14, 1926",University of Kentucky,0,Right,Washington Capitols,"1st round (8th pick,8th overall)",1949 BAA Draft
2063,Wali Jones,joneswa02,1965,1976,G,6-2,180,"February 14, 1942",Villanova University,0,Right,Detroit Pistons,"3rd round (2nd pick,18th overall)",1964 NBA Draft
2064,Wil Jones,joneswi02,1970,1978,F,6-8,205,"February 27, 1947",Albany State University,0,Right,Los Angeles Lakers,"5th round (12th pick,69th overall)",1969 NBA Draft
2065,Willie Jones,joneswi01,1961,1965,G,6-3,185,"June 29, 1936",Northwestern University,0,Right,Detroit Pistons,"5th round (4th pick,36th overall)",1960 NBA Draft
2066,Adonis Jordan,jordaad01,1994,1999,G,5-11,170,"August 21, 1970",University of Kansas,0,Right,Seattle SuperSonics,"2nd round (15th pick,42nd overall)",1993 NBA Draft
2067,Charles Jordan,jordach01,1976,1976,F,6-8,220,"January 31, 1954",Canisius College,0,Right,,,
2068,DeAndre Jordan,jordade01,2009,2017,C,6-11,265,"July 21, 1988",Texas A&M University,1,Left,Los Angeles Clippers,"2nd round (5th pick,35th overall)",2008 NBA Draft
2069,Eddie Jordan,jordaed01,1978,1984,G,6-1,170,"January 29, 1955",Rutgers University,0,Right,Cleveland Cavaliers,"2nd round (11th pick,33rd overall)",1977 NBA Draft
2070,Jerome Jordan,jordaje01,2012,2015,C,7-0,253,"September 29, 1986",University of Tulsa,0,Right,Milwaukee Bucks,"2nd round (14th pick,44th overall)",2010 NBA Draft
2071,Michael Jordan*,jordami01,1985,2003,G-F,6-6,195,"February 17, 1963",University of North Carolina,0,Right,Chicago Bulls,"1st round (3rd pick,3rd overall)",1984 NBA Draft
2072,Reggie Jordan,jordare01,1994,2000,G,6-4,195,"January 26, 1968",New Mexico State University,0,Left,,,
2073,Thomas Jordan,jordath01,1993,1993,F-C,6-10,220,"May 23, 1968",Oklahoma State University,0,Right,,,
2074,Walter Jordan,jordawa01,1981,1981,F,6-7,198,"February 19, 1956",Purdue University,0,Right,New Jersey Nets,"4th round (18th pick,84th overall)",1978 NBA Draft
2075,Phil Jordon,jordoph01,1957,1963,C-F,6-10,205,"September 12, 1933",Whitworth,0,Right,Minneapolis Lakers,,
2076,Johnny Jorgensen,jorgejo01,1948,1949,G-F,6-2,185,"December 28, 1921",DePaul University,0,Right,,,
2077,Noble Jorgensen,jorgeno01,1947,1953,C,6-9,228,"May 18, 1925",University of Iowa,0,Right,,,
2078,Roger Jorgensen,jorgero01,1947,1947,C-F,6-5,200,"September 2, 1920",Ohio State University,0,Right,,,
2079,Cory Joseph,josepco01,2012,2017,G,6-3,193,"August 20, 1991",University of Texas at Austin,1,Right,San Antonio Spurs,"1st round (29th pick,29th overall)",2011 NBA Draft
2080,Garth Joseph,josepga01,2001,2001,C,7-2,315,"August 8, 1973",College of Saint Rose,0,Right,,,
2081,Kris Joseph,josepkr01,2013,2013,F,6-7,210,"December 17, 1988",Syracuse University,0,Right,Boston Celtics,"2nd round (21st pick,51st overall)",2012 NBA Draft
2082,Yvon Joseph,josepyv01,1986,1986,C,6-11,245,"October 31, 1957",Georgia Institute of Technology,0,Right,New Jersey Nets,"2nd round (12th pick,36th overall)",1985 NBA Draft
2083,Kevin Joyce,joyceke01,1974,1976,G,6-3,190,"June 27, 1951",University of South Carolina,0,Right,Golden State Warriors,"1st round (11th pick,11th overall)",1973 NBA Draft
2084,Butch Joyner,joynebu01,1969,1969,F,6-5,200,"April 26, 1945",Indiana University,0,Right,Cincinnati Royals,"9th round (5th pick,111th overall)",1968 NBA Draft
2085,Jeff Judkins,judkije01,1979,1983,G-F,6-6,185,"March 23, 1956",University of Utah,0,Right,Boston Celtics,"2nd round (8th pick,30th overall)",1978 NBA Draft
2086,Whitey Kachan,kachawh01,1949,1949,G,6-2,175,"September 15, 1925",DePaul University,0,Right,Chicago Stags,,
2087,George Kaftan,kaftage01,1949,1953,F,6-3,190,"February 22, 1928",College of the Holy Cross,0,Right,Boston Celtics,2nd round,1949 BAA Draft
2088,Ed Kalafat,kalafed01,1955,1957,C-F,6-6,245,"October 13, 1932",University of Minnesota,0,Right,Minneapolis Lakers,"1st round (9th pick,9th overall)",1954 NBA Draft
2089,Chris Kaman,kamanch01,2004,2016,C,7-0,265,"April 28, 1982",Central Michigan University,1,Right,Los Angeles Clippers,"1st round (6th pick,6th overall)",2003 NBA Draft
2090,Frank Kaminsky,kaminfr01,2016,2017,F-C,7-0,242,"April 4, 1993",University of Wisconsin,1,Right,Charlotte Hornets,"1st round (9th pick,9th overall)",2015 NBA Draft
2091,Enes Kanter,kanteen01,2012,2017,C,6-11,245,"May 20, 1992",,1,Right,Utah Jazz,"1st round (3rd pick,3rd overall)",2011 NBA Draft
2092,Ralph Kaplowitz,kaplora01,1947,1948,G-F,6-2,170,"May 18, 1919",New York University,0,Right,,,
2093,Jason Kapono,kaponja01,2004,2012,F,6-8,213,"February 4, 1981","University of California, Los Angeles",0,Right,Cleveland Cavaliers,"2nd round (2nd pick,31st overall)",2003 NBA Draft
2094,Tony Kappen,kappeto01,1947,1947,G,5-10,165,"April 13, 1919",,0,Right,,,
2095,Sergey Karasev,karasse01,2014,2016,G-F,6-7,208,"October 26, 1993",,0,Left,Cleveland Cavaliers,"1st round (19th pick,19th overall)",2013 NBA Draft
2096,Coby Karl,karlco01,2008,2010,G,6-5,215,"March 6, 1983",Boise State University,0,Right,,,
2097,George Karl,karlge01,1974,1978,,,,"May 12, 1952",University of North Carolina,0,,New York Knicks,"4th round (14th pick,66th overall)",1973 NBA Draft
